id;nome;fantasia;telefone;cnpj;cep;rua;bairro;estado;numero;complemento;contato
1;auxiliary;Borracha alarm Catarina;globalXXXX;digital Proact;neural-n;applications Alagoas;Pequeno Goiás Loan;Ru;TCP virtual Carro;national;composite Borders payment
2;transform online;Proactive;Amazonas Paradi;TakaXXXXXXXXXX;invoice ;Incrível escarlate;connecting Borracha Beleza;ci;madeira Incrível;Accountability jade CSS;Incrível core Rua
3;bronze;payment Refinado;Sapatos reboot;LoanXXXXXXXXXX;LevXXXXX;Alameda sticky Aço;Tunísia bypassing Credit;ma;Filmes;withdrawal back-end;à navigating
4;services e-tailers;magnetic Buckinghamshire;interface Práti;RefinadoXXXXXX;actuatin;Bedfordshire;XSS CSS;SM;azul;Jogos;mão
5;Account Central;analyzer;payment Distric;parse directio;Borracha;invoice Madeira;Genérico cinza;Me;Computadores Mato;optimal generating;project holistic Unido
6;Rua Bedfordshire Profound;circuit;panelXXXXX;arrayXXXXXXXXX;program ;Group;microchip Creative Exclusive;sy;Salada;Berkshire 1080p;capability invoice
7;Teclado Diverse e-business;driver;hack Congelado;madeiraXXXXXXX;AccountX;bandwidth Lindo;streamline;Av;Adaptive Avenida;Buckinghamshire parsing;Home
8;panel;Bebê empowering Beleza;Total tangible ;Dynamic Ceará ;AccountX;online;convergence Berkshire Queijo;wi;Granito empower Alameda;process calculating foreground;Teclado
9;SMS synthesize;Amapá;withdrawal arch;pele RuaXXXXXX;bypassin;Data Fresco auxiliary;Pequeno generating;Al;Product;Avenida backing;Israeli
10;TCP;syndicate Bedfordshire Down-sized;Account Solutio;Mônaco Avenida;Associat;Engineer connect;Dynamic;in;México;Future Stand-alone Colômbia;synergies info-mediaries
